term	code
accidental ingestion of jequirity seeds	X49.99
accidental ingestion of prayer bean seeds	X49.99
accidental ingestion of laburnum seeds	X49.99
accidental ingestion of pea tree seeds	X49.99
accidental ingestion of solomons seal seeds	X49.99
accidental ingestion of thornapple seeds	X49.99
accidental ingestion of jimson weed seeds	X49.99
accidental ingestion of toxic fungal species	X49.99
accidental ingestion of death cap	X49.99
accidental ingestion of fly agaric	X49.99
accidental ingestion of panther mushroom	X49.99
accidental ingestion of hallucinogenic mushrooms	X49.99
accidental ingestion of magic mushrooms	X49.99
accidental ingestion of liberty cap	X49.99
accidental ingestion of toxic plant oil	X49.99
accidental ingestion of toxic essential plant oil	X49.99
accidental ingestion of clove oil	X49.99
accidental ingestion of turpentine	X49.99
accidental ingestion of eucalyptus oil	X49.99
accidental ingestion of citronella	X49.99
accidental ingestion of terpineol	X49.99
accidental ingestion of toxic non-essential plant oil	X49.99
accidental ingestion of camphor	X49.99
accidental ingestion of menthol	X49.99
accidental exposure to metal and/or metal compound	X49.99
accidental exposure to metallic lead	X49.99
accidental exposure to organic lead compound	X49.99
accidental exposure to inorganic lead compound	X49.99
accidental exposure to metallic mercury	X49.99
accidental exposure to inorganic mercury compound	X49.99
burning caused by hydrochloric acid	X49.99
burning caused by nitric acid	X49.99
burning caused by lime	X49.99
burning caused by caustic organic chemical	X49.99
burning caused by creosote	X49.99
sphenosciadium capitellatum poisoning	X49.99
Whiteheads poisoning	X49.99
Salsola species poisoning	X49.99
Prunus caroliniana poisoning	X49.99
cherry laurel poisoning	X49.99
Acacia nilotica poisoning	X49.99
Swainsona species poisoning	X49.99
darling pea poisoning	X49.99
Erodium species poisoning	X49.99
siderosis of eye	X49.99
ocular siderosis	X49.99
Solanum tuberosum poisoning	X49.99
Athanasia trifurcata poisoning	X49.99
Hordeum vulgare poisoning	X49.99
toxic effect of mycotoxin	X49.99
fungal poisoning	X49.99
mycotoxicosis	X49.99
poisoning by fungus	X49.99
Cynanchum species poisoning	X49.99
Lolium species poisoning	X49.99
ryegrass toxicity	X49.99
Brassica napus poisoning	X49.99
rape poisoning	X49.99
Ornithogalum species poisoning	X49.99
bismuth poisoning	X49.99
Trifolium subterraneum poisoning	X49.99
subterranean clover poisoning	X49.99
Mimosa pudica poisoning	X49.99
sensitive plant poisoning	X49.99
Cestrum species poisoning	X49.99
fish and shellfish causing toxic effect	X49.99
accidental burning caused by acid	X49.99
burning caused by caustic oven cleaner	X49.99
toxic effect of corrosive aromatic	X49.99
accidental poisoning caused by corrosive	X49.99
accidental poisoning by corrosive	X49.99
burning caused by caustic and corrosive substance	X49.99
burning caused by caustic acid	X49.99
burning caused by sulfuric acid	X49.99
burning caused by sulphuric acid	X49.99
Argemone species poisoning	X49.99
Mexican poppy poisoning	X49.99
burning caused by battery acid	X49.99
burning caused by paint stripper	X49.99
erythrophleum species poisoning	X49.99
Erythrophloeum species poisoning	X49.99
Brassica rapa poisoning	X49.99
turnip poisoning	X49.99
Heliotropium europaeum poisoning	X49.99
heliotrope poisoning	X49.99
toxic effect of copper salt	X49.99
buttercup poisoning	X49.99
crowfoot poisoning	X49.99
chemical burn of internal organ	X49.99
Galenia africana poisoning	X49.99
kraalbos poisoning	X49.99
Lolium temulentum poisoning	X49.99
mercuric oxide poisoning	X49.99
accidental mercuric oxide poisoning	X49.99
lithium poisoning	X49.99
lithium toxicity	X49.99
Descurainia pinnata poisoning	X49.99
tansy mustard poisoning	X49.99
Castalis species poisoning	X49.99
Melia azedarach poisoning	X49.99
chinaberry tree poisoning	X49.99
Nerium oleander poisoning	X49.99
oleander poisoning	X49.99
Lasiospermum bipinnatum poisoning	X49.99
ganskweek poisoning	X49.99
bismuth compound overdose	X49.99
bismuth chelate overdose	X49.99
nicotine overdose	X49.99
accidental nicotine overdose	X49.99
accidental antimony compound overdose	X49.99
Atropa belladonna poisoning	X49.99
deadly nightshade poisoning	X49.99
Taxus cuspidata poisoning	X49.99
Japanese yew poisoning	X49.99
Solanum malacoxylon poisoning	X49.99
Melianthus species poisoning	X49.99
orange sneezeweed poisoning	X49.99
Haplopappus heterophyllus poisoning	X49.99
Rayless goldenrod poisoning	X49.99
burroweed poisoning	X49.99
lambkill poisoning	X49.99
Cestrum laevigatum poisoning	X49.99
ink-berry poisoning	X49.99
Leucaena species poisoning	X49.99
jumbey	X49.99
Veratrum species poisoning	X49.99
stachybotryotoxicosis	X49.99
Agave lecheguilla poisoning	X49.99
lechuguilla poisoning	X49.99
Cryptostegia grandiflora poisoning	X49.99
rubber vine poisoning	X49.99
cleaning product causing toxic effect	X49.99
linum usitatissium poisoning	X49.99
flax poisoning	X49.99
toxic effect of sulfuric acid	X49.99
sulfuric acid causing toxic effect	X49.99
sulphuric acid causing toxic effect	X49.99
toxic effect of sulphuric acid	X49.99
Ipomoea species poisoning	X49.99
Phytolacca americana poisoning	X49.99
pokeweed poisoning	X49.99
Arisaema triphyllum poisoning	X49.99
jack-in-the-pulpit poisoning	X49.99
Vicia faba poisoning	X49.99
broad bean poisoning	X49.99
acute selenium poisoning	X49.99
Toxicodendron vernix poisoning	X49.99
poison sumac poisoning	X49.99
Homeria species poisoning	X49.99
Cape tulip poisoning	X49.99
Homeria tulip poisoning	X49.99
Aesculus hippocastanum poisoning	X49.99
Horsechestnut poisoning	X49.99
ingestion of toxic substance	X49.99
sugar beet poisoning	X49.99
poisoning caused by corrosive chemical	X49.99
corrosive chemical causing toxic effect	X49.99
corrosive chemical poisoning	X49.99
toxic effect of corrosive chemical	X49.99
cadmium poisoning	X49.99
cadmium toxicity	X49.99
Crotalaria species poisoning	X49.99
thallium sulfate toxicity	X49.99
thallium sulphate toxicity	X49.99
Prunus serotina poisoning	X49.99
wild cherry poisoning	X49.99
yellow oleander poisoning	X49.99
glycine max poisoning	X49.99
soya bean poisoning	X49.99
Pinus species poisoning	X49.99
Panicum coloratum poisoning	X49.99
Kleingrass poisoning	X49.99
Bowiea species poisoning	X49.99
bulnesia sarmientii poisoning	X49.99
Palo Santo tree poisoning	X49.99
Arum maculatum poisoning	X49.99
Arum lily poisoning	X49.99
Gelsemium sempervirens poisoning	X49.99
yellow jessamine poisoning	X49.99
chronic selenium poisoning	X49.99
Osteospermum species poisoning	X49.99
anaemia caused by lead	X49.99
anaemia due to lead	X49.99
anemia due to lead	X49.99
Xanthium species poisoning	X49.99
cocklebur poisoning	X49.99
cinchonism	X49.99
polyurethane poisoning	X49.99
oxalate poisoning	X49.99
bleach burn of skin	X49.99
cold burn - liquid nitrogen	X49.99
toxic effect of sodium cyanide	X49.99
toxic effect of acid	X49.99
acid poisoning	X49.99
Asclepias fructicosa poisoning	X49.99
milkweed poisoning	X49.99
Minamata disease	X49.99
toxic effect of alkyl mercury compound	X49.99
Inula graveolens poisoning	X49.99
Cape khakiweed poisoning	X49.99
Ornithoglossum viride poisoning	X49.99
toxicity due to chemotherapy	X49.99
alkali burn of skin	X49.99
cement burn of skin	X49.99
acid burn of skin	X49.99
Hymenoxys species poisoning	X49.99
nail dystrophy resulting from poisonous chemical	X49.99
nail dystrophy due to poison	X49.99
oral ulceration due to chemical burn	X49.99
mouth ulcer due to chemical burn	X49.99
myrotheciotoxicosis	X49.99
accidental exposure to mycotoxin	X49.99
accidental exposure to mycotoxin T2	X49.99
accidental exposure to T-2 trichothecene	X49.99
accidental exposure to T2 mycotoxin	X49.99
accidental exposure to T2 toxin	X49.99
accidental exposure to T2 trichothecene	X49.99
exposure to T2 mycotoxin	X49.99
exposure to T2 toxin	X49.99
exposure to T2 trichothecene	X49.99
Peganum harmala poisoning	X49.99
African rue poisoning	X49.99
Trachymene species poisoning	X49.99
ricin poisoning	X49.99
poisoning by ricin	X49.99
borax toxicity	X49.99
Nolina texana poisoning	X49.99
Beargrass poisoning	X49.99
sacahuista poisoning	X49.99
gold poisoning	X49.99
Microcystis flos-aquae poisoning	X49.99
Delphinium species poisoning	X49.99
larkspur poisoning	X49.99
hallucinogenic fish poisoning	X49.99
ichthyoallyeinotoxism	X49.99
accidental ingestion of seeds	X49.99
allergic reaction caused by platinum	X49.99
allergic reaction to platinum	X49.99
exposure to toxin	X49.99
Penicillium purpurogenum toxicosis	X49.99
antifreeze poisoning	X49.99
antifreeze causing toxic effect	X49.99
toxic effect from eating shellfish	X49.99
shellfish poisoning	X49.99
nonferrous ocular metallosis	X49.99
azaspiracid poisoning	X49.99
Sesbania vesicaria poisoning	X49.99
bladder pod poisoning	X49.99
Apocynum species poisoning	X49.99
dogbane poisoning	X49.99
mesquite poisoning	X49.99
allergic reaction caused by tattoo ink	X49.99
allergic reaction to tattoo ink	X49.99
Equisetum arvense poisoning	X49.99
bleeding heart poisoning	X49.99
gangrenous ergotism	X49.99
Taxus species poisoning	X49.99
yew poisoning	X49.99
Oenanthe species poisoning	X49.99
water dropwort poisoning	X49.99
perilla frutescens poisoning	X49.99
beefsteak plant poisoning	X49.99
poisoning caused by beryllium	X49.99
poisoning by beryllium	X49.99
poisoning caused by manganese compound	X49.99
poisoning by manganese compound	X49.99
poisoning caused by asbestos	X49.99
poisoning by ingestion of fish contaminated by bacteria	X49.99
poisoning by ingestion of fish contaminated by environmental toxin	X49.99
poisoning caused by ingestion of fish toxin	X49.99
ichthyosarcotoxism	X49.99
poisoning by ingestion of fish toxin	X49.99
poisoning caused by ingestion of plant	X49.99
poisoning by ingestion of plant	X49.99
Nicotiana species poisoning	X49.99
poisoning caused by silicone	X49.99
poisoning by silicone	X49.99
poisoning caused by manganese	X49.99
manganese poisoning	X49.99
poisoning by manganese	X49.99
poisoning by beryllium compound	X49.99
Panicum species poisoning	X49.99
neurotoxic shellfish poisoning	X49.99
poisoning due to shellfish contaminated with Gymnodinium	X49.99
Zygadenus species poisoning	X49.99
death cama poisoning	X49.99
alimentary toxic aleukia	X49.99
Digitalis purpurea poisoning	X49.99
foxglove poisoning	X49.99
Chrysocoma tenuifolia poisoning	X49.99
bitterbush poisoning	X49.99
toxic effect of strychnine	X49.99
strychnine poisoning	X49.99
strychnine toxicity	X49.99
Lupinus sericeus poisoning	X49.99
Nicotiana tabacum poisoning	X49.99
cigarette poisoning	X49.99
tobacco poisoning	X49.99
Crotalaria spartioides poisoning	X49.99
Cynodon dactylon poisoning	X49.99
Bermuda grass tremors	X49.99
couch grass poisoning	X49.99
Hedera helix poisoning	X49.99
common ivy poisoning	X49.99
Hymenoxys richardsonii poisoning	X49.99
Colorado rubberweed poisoning	X49.99
Pingue poisoning	X49.99
Amaranthus species poisoning	X49.99
pigweed poisoning	X49.99
copper poisoning	X49.99
Romulea species poisoning	X49.99
onion grass poisoning	X49.99
fluorinated hydrocarbon poisoning	X49.99
Saponaria officinalis poisoning	X49.99
soapwort poisoning	X49.99
Datura stramonium poisoning	X49.99
stinkweed poisoning	X49.99
thornapple poisoning	X49.99
inorganic mercury poisoning	X49.99
inorganic mercury compound causing toxic effect	X49.99
toxic effect of tetraethyl lead	X49.99
tetraethyl lead causing toxic effect	X49.99
Dutchman's breeches poisoning	X49.99
Gnidia species poisoning	X49.99
Brassica species poisoning	X49.99
Senecio species poisoning	X49.99
Myoporum species poisoning	X49.99
ngaio tree poisoning	X49.99
Veratrum californicum poisoning	X49.99
false hellebore poisoning	X49.99
skunk cabbage poisoning	X49.99
Zieria arborescens poisoning	X49.99
stinkwood poisoning	X49.99
Stipa species poisoning	X49.99
Hypericum species poisoning	X49.99
Galega species poisoning	X49.99
goat's rue poisoning	X49.99
Aspergillus clavatus tremors	X49.99
Aspergillus versicolor toxicosis	X49.99
Solanum incanum poisoning	X49.99
bitter apple poisoning	X49.99
Rheum rhaponicum poisoning	X49.99
rhubarb poisoning	X49.99
chronic copper poisoning	X49.99
Saponaria species poisoning	X49.99
dipyridyl compound toxicity	X49.99
antifreeze oxalosis	X49.99
Trianthema species poisoning	X49.99
hogweed poisoning	X49.99
thallium poisoning	X49.99
Echium species poisoning	X49.99
Sarcostemma species poisoning	X49.99
melktou poisoning	X49.99
lead encephalopathy	X49.99
toxic encephalopathy due to lead	X49.99
Chenopodium album species poisoning	X49.99
lambsquarters poisoning	X49.99
ergotism	X49.99
ergot causing toxic effect	X49.99
mountain laurel poisoning	X49.99
Adenium multiflorum poisoning	X49.99
impala lily poisoning	X49.99
Hertia pallens poisoning	X49.99
Springbokbush poisoning	X49.99
Triglochin species poisoning	X49.99
Arrowgrass poisoning	X49.99
Eupatorium rugosum poisoning	X49.99
Gomphrena celosiodes poisoning	X49.99
soft khaki weed poisoning	X49.99
metallosis	X49.99
saturnine tremor	X49.99
self-administered accidental poisoning	X49.99
Dieffenbachia species poisoning	X49.99
dumbcane poisoning	X49.99
Phalaris species poisoning	X49.99
Trema aspera poisoning	X49.99
poison peach poisoning	X49.99
Colchicum autumnale poisoning	X49.99
autumn crocus poisoning	X49.99
Crotalaria dura poisoning	X49.99
wild lucerne poisoning	X49.99
Brachiaria species poisoning	X49.99
Crotalaria juncea poisoning	X49.99
Solanum species poisoning	X49.99
Dicentra species poisoning	X49.99
toxic encephalopathy caused by mercury	X49.99
encephalopathy caused by mercury	X49.99
encephalopathy due to mercury	X49.99
hatter's shakes	X49.99
toxic encephalopathy due to mercury	X49.99
Kallstroemia hirsutissima poisoning	X49.99
carpet weed poisoning	X49.99
toxic effect of nitric acid	X49.99
nitric acid causing toxic effect	X49.99
Solanum kwebense poisoning	X49.99
Toxicodendron radicans poisoning	X49.99
poison ivy poisoning	X49.99
Macrozamia species poisoning	X49.99
Eucalyptus cladocalyx poisoning	X49.99
gum tree poisoning	X49.99
erythrophleum chlorostachys poisoning	X49.99
Erythrophloeum chlorostachys poisoning	X49.99
ironwood tree poisoning	X49.99
silverling poisoning	X49.99
Phaseolus species poisoning	X49.99
Acacia berlandieri poisoning	X49.99
guajillo poisoning	X49.99
Sorghum halepense poisoning	X49.99
Johnson grass poisoning	X49.99
Convallaria majalis poisoning	X49.99
lily of the valley poisoning	X49.99
Cycas species poisoning	X49.99
Cycada poisoning	X49.99
Gastrolobium species poisoning	X49.99
antimony pneumoconiosis	X49.99
antimoniosis	X49.99
Vinca species poisoning	X49.99
periwinkle poisoning	X49.99
Pimelea trichostachya poisoning	X49.99
desert riceflower poisoning	X49.99
Cassia species poisoning	X49.99
coffee senna poisoning	X49.99
Pinus ponderosa poisoning	X49.99
Western yellow pine poisoning	X49.99
Kalmia species poisoning	X49.99
laurel poisoning	X49.99
Aconitum species poisoning	X49.99
aconite poisoning	X49.99
monkshood poisoning	X49.99
Ipomoea batatas poisoning	X49.99
moldy sweet potato poisoning	X49.99
mouldy sweet potato poisoning	X49.99
gossypol poisoning	X49.99
Pennisetum clandestinum poisoning	X49.99
Kikuyu grass poisoning	X49.99
Kikuyu poisoning	X49.99
Agrostemma species poisoning	X49.99
Phytolacca species poisoning	X49.99
Paspalum commersonii poisoning	X49.99
Thesium species poisoning	X49.99
choke cherry poisoning	X49.99
Gutierrezia microcephala poisoning	X49.99
perennial broomweed poisoning	X49.99
Lolium perenne poisoning	X49.99
Phyllanthus abnormis poisoning	X49.99
spurge poisoning	X49.99
Portulaca oleracea poisoning	X49.99
purslane poisoning	X49.99
toxic effect of brass fumes	X49.99
brass fumes causing toxic effect	X49.99
Philodendron species poisoning	X49.99
Crotalaria globifera poisoning	X49.99
Helichrysum argyosphaerum poisoning	X49.99
wild everlasting poisoning	X49.99
pulmonary siderosis	X49.99
arc-welders' disease	X49.99
arc-welders' nodulation	X49.99
arc-welders' pneumoconiosis	X49.99
iron oxide lung	X49.99
iron pneumoconiosis	X49.99
siderosis	X49.99
siderotic lung disease	X49.99
steel grinders' disease	X49.99
welders' siderosis	X49.99
Lantana species poisoning	X49.99
Ammi species poisoning	X49.99
staggerweed poisoning	X49.99
mercurialentis	X49.99
Oxytenia acerosa poisoning	X49.99
prickly copperweed poisoning	X49.99
Hymenoxys oderata poisoning	X49.99
rubberweed poisoning	X49.99
Melica species poisoning	X49.99
Rhododendron indicum poisoning	X49.99
azealea poisoning	X49.99
Dichapetalum cymosum poisoning	X49.99
gifblaar poisoning	X49.99
borate toxicity	X49.99
Toxicodendron diversilobum poisoning	X49.99
Western poison oak poisoning	X49.99
Baileya multiradiata poisoning	X49.99
Karwinskia humboldtiana poisoning	X49.99
coyotillo poisoning	X49.99
elephant's ear poisoning	X49.99
Croton species poisoning	X49.99
Xanthorrhoea species poisoning	X49.99
grass tree poisoning	X49.99
fugu poisoning	X49.99
fugu causing toxic effect	X49.99
puffer fish causing toxic effect	X49.99
puffer fish poisoning	X49.99
puffer-fish paralysis	X49.99
tetraodon causing toxic effect	X49.99
tetrodotoxin poisoning	X49.99
tetrodotoxism	X49.99
Fadogia homblei poisoning	X49.99
wild date poisoning	X49.99
toxic effect of cyanide	X49.99
cyanide poisoning	X49.99
cyanides causing toxic effect	X49.99
Dryopteris species poisoning	X49.99
male fern poisoning	X49.99
acrodynia due to mercury poisoning	X49.99
acrodynia caused by mercury	X49.99
acrodynia caused by mercury poisoning	X49.99
acrodynia due to mercury	X49.99
erythredema polyneuropathy	X49.99
erythroedema polyneuropathy	X49.99
Cucumis species poisoning	X49.99
silver poisoning	X49.99
Eucalyptus species poisoning	X49.99
toxic effect of lead dioxide	X49.99
lead dioxide causing toxic effect	X49.99
Fagopyrum esculentum poisoning	X49.99
buckwheat poisoning	X49.99
Rumex species poisoning	X49.99
dock poisoning	X49.99
tongblaar poisoning	X49.99
toxic effect from eating fish	X49.99
Ammi majus poisoning	X49.99
Bishop's weed poisoning	X49.99
Urginea species poisoning	X49.99
Centaurea species poisoning	X49.99
Kochia scoparia poisoning	X49.99
Mexican fireweed poisoning	X49.99
Quercus species poisoning	X49.99
acorn poisoning	X49.99
oak bud poisoning	X49.99
Cicuta maculata poisoning	X49.99
water hemlock poisoning	X49.99
Salsola tuberculatiformis poisoning	X49.99
blomkoolganna poisoning	X49.99
saltwort poisoning	X49.99
Conium maculatum poisoning	X49.99
poison hemlock poisoning	X49.99
Albizia species poisoning	X49.99
paper bark poisoning	X49.99
Trifolium species poisoning	X49.99
clover poisoning	X49.99
Avena sativa poisoning	X49.99
oats poisoning	X49.99
Vicia species poisoning	X49.99
vetch poisoning	X49.99
pulmonary arterial hypertension caused by toxin	X49.99
pulmonary arterial hypertension induced by toxin	X49.99
Chelidonium majus poisoning	X49.99
celandine poisoning	X49.99
Cicuta species poisoning	X49.99
Sesbania species poisoning	X49.99
coffee bean poisoning	X49.99
mercurial tremor	X49.99
Ipomoea muelleri poisoning	X49.99
morning glory poisoning	X49.99
Lippia species poisoning	X49.99
Sorghum species poisoning	X49.99
prussic acid poisoning	X49.99
allergic contact gingivitis caused by mercury	X49.99
gingival disease due to chemical burn	X49.99
shellfish poisoning caused by Gonyaulax catenella	X49.99
phosphate salt poisoning	X49.99
organic phosphate poisoning	X49.99
Centaurea solstitialis poisoning	X49.99
yellow star thistle poisoning	X49.99
Thamnosma texana poisoning	X49.99
Dutchmans breeches texana poisoning	X49.99
sweet clover poisoning	X49.99
tricothecium toxicosis	X49.99
Agrostemma githago poisoning	X49.99
corn cockle poisoning	X49.99
Urginea maritima poisoning	X49.99
Scilla maritima poisoning	X49.99
sea onion poisoning	X49.99
poisoning caused by cassava	X49.99
cassava poisoning	X49.99
accidental poisoning	X49.99
toxic effect of inorganic lead compound	X49.99
inorganic lead compounds causing toxic effect	X49.99
ulcer of skin caused by chromium	X49.99
chrome ulcer of skin	X49.99
Onoclea sensibilis poisoning	X49.99
Lidneria species poisoning	X49.99
slangkop poisoning	X49.99
Lathyrus sylvestris poisoning	X49.99
flat pea poisoning	X49.99
narrow-leaved everlasting pea poisoning	X49.99
neurolathyrism caused by Lathyrus sylvestris	X49.99
Pachystigma species poisoning	X49.99
Gousiekte bush poisoning	X49.99
poisoning caused by triorthocresyl phosphate	X49.99
Jake paralysis	X49.99
ginger paralysis	X49.99
poisoning by triorthocresyl phosphate	X49.99
Kalanchoe species poisoning	X49.99
shin oak poisoning	X49.99
lupinosis	X49.99
mycotoxic lupinosis	X49.99
foxtail grass poisoning	X49.99
Oxytropis species poisoning	X49.99
locoweed oxtropis poisoning	X49.99
toxic effect of potassium hydroxide	X49.99
Crotalaria spectabilis poisoning	X49.99
metallic tremor	X49.99
Sapium sebiferum poisoning	X49.99
Chinese tallow tree poisoning	X49.99
Scilla species poisoning	X49.99
squill poisoning	X49.99
Dichapetalum species poisoning	X49.99
Tribulus terrestris poisoning	X49.99
devil's thorn poisoning	X49.99
puncture vine poisoning	X49.99
manihot species poisoning	X49.99
Wedelia asperrima poisoning	X49.99
yellow daisy poisoning	X49.99
Medicago species poisoning	X49.99
phosphorus poisoning	X49.99
phosphorus toxicity	X49.99
Acokanthera species poisoning	X49.99
arrow poison poisoning	X49.99
Phalaris minor poisoning	X49.99
canary grass poisoning	X49.99
Paspalum dilatatum poisoning	X49.99
Dallas grass poisoning	X49.99
Jatropha curcas poisoning	X49.99
purge nut poisoning	X49.99
infantile poisoning caused by mercury	X49.99
Feer disease	X49.99
Swift Feer disease	X49.99
Swift disease	X49.99
erythroedema polyneuritis	X49.99
infantile mercury poisoning	X49.99
parkinsonism caused by cyanide	X49.99
cyanide-induced parkinsonism	X49.99
toxic effect of beryllium and/or beryllium compound	X49.99
toxic effect of mercury and/or mercury compound	X49.99
hydrargyria	X49.99
hydrargyrism	X49.99
mercurialism	X49.99
mercury poisoning	X49.99
toxic effect of manganese and/or manganese compound	X49.99
molybdenum poisoning	X49.99
Sesbania punicea poisoning	X49.99
red sesbania poisoning	X49.99
Amsinckia intermedia poisoning	X49.99
tarweed poisoning	X49.99
paralytic shellfish poisoning	X49.99
PSP - Paralytic shellfish poisoning	X49.99
paralytic shellfish causing toxic effect	X49.99
poisoning due to red tide of dinoflagellates	X49.99
saxitoxin poisoning	X49.99
shellfish poisoning, paralytic	X49.99
PSP	X49.99
PSP	X49.99
Cestrum diurnum poisoning	X49.99
wild jasmine poisoning	X49.99
consumption of contaminated food	X49.99
organic lead compounds causing toxic effect	X49.99
Taxus baccata poisoning	X49.99
English yew poisoning	X49.99
toxic effect of hydrochloric acid	X49.99
accidental ingestion of toxic substance	X49.99
Marsilea drummondii poisoning	X49.99
nardoo fern poisoning	X49.99
Prunus species poisoning	X49.99
Inula conyza poisoning	X49.99
fly-bane poisoning	X49.99
Paspalum species poisoning	X49.99
Lolium rigidum poisoning	X49.99
Echinopogon ovatus poisoning	X49.99
rough-bearded grass poisoning	X49.99
Nidorella species poisoning	X49.99
moldy walnut poisoning	X49.99
mouldy walnut poisoning	X49.99
Trisetum flavescens poisoning	X49.99
yellow oat grass poisoning	X49.99
Melica decumbens poisoning	X49.99
Dronkgras poisoning	X49.99
Cheilanthes sieberi poisoning	X49.99
mulga poisoning	X49.99
rock fern poisoning	X49.99
Zamia species poisoning	X49.99
Burrawang palm poisoning	X49.99
Helenium species poisoning	X49.99
sneezeweed poisoning	X49.99
Setaria species poisoning	X49.99
Trifolium repens poisoning	X49.99
white clover poisoning	X49.99
poisoning caused by Cyanobacterial toxin	X49.99
blue-green algae toxin poisoning	X49.99
Euphorbia species poisoning	X49.99
caustic creeper poisoning	X49.99
Podophyllum peltatum poisoning	X49.99
Mayapple poisoning	X49.99
mandrake poisoning	X49.99
Acacia georginae poisoning	X49.99
Gidgee tree poisoning	X49.99
Papaver species poisoning	X49.99
poppy poisoning	X49.99
Narthecium ossifragum poisoning	X49.99
bog asphodel poisoning	X49.99
berylliosis	X49.99
beryllium disease	X49.99
Oxalis species poisoning	X49.99
soursob poisoning	X49.99
wood sorrel poisoning	X49.99
Cicuta virosa poisoning	X49.99
cowbane poisoning	X49.99
beta species poisoning	X49.99
Lobelia inflata poisoning	X49.99
Indian tobacco poisoning	X49.99
Nicotiana glauca poisoning	X49.99
tree tobacco poisoning	X49.99
Portulaca species poisoning	X49.99
scombroid fish poisoning	X49.99
histamine fish poisoning	X49.99
scombroid fish causing toxic effect	X49.99
Psilostrophe species poisoning	X49.99
paper-flowers poisoning	X49.99
Amaranthus retroflexus poisoning	X49.99
common pigweed poisoning	X49.99
Cheilanthes sinnata poisoning	X49.99
jimmy fern poisoning	X49.99
Pieris japonica poisoning	X49.99
Japanese pieris poisoning	X49.99
Trifolium hybridum poisoning	X49.99
alsike clover poisoning	X49.99
Isotropis species poisoning	X49.99
Robinia pseudoacacia poisoning	X49.99
black locust poisoning	X49.99
Crotalaria burkeana poisoning	X49.99
rattlebox poisoning	X49.99
Helichrysum species poisoning	X49.99
Phalaris aquatica poisoning	X49.99
Phalaris grass poisoning	X49.99
Phalaris tuberosa poisoning	X49.99
Brassica sinapis poisoning	X49.99
mustard seed poisoning	X49.99
nickel compounds causing toxic effect	X49.99
Arisaema species poisoning	X49.99
linum species poisoning	X49.99
Secale cereale poisoning	X49.99
rye poisoning	X49.99
Hyoscyamus niger poisoning	X49.99
cobaltosis	X49.99
Mercurialis species poisoning	X49.99
Laburnum anagyroides poisoning	X49.99
Urtica incisa poisoning	X49.99
stinging nettle poisoning	X49.99
Fagopyrum species poisoning	X49.99
fagopyrism	X49.99
Crofton weed poisoning	X49.99
parkinsonism caused by carbon disulphide	X49.99
ocular chalcosis	X49.99
Psilocaulon species poisoning	X49.99
horsetails poisoning	X49.99
chlorinated naphthalene poisoning	X49.99
Stypandra species poisoning	X49.99
blind grass poisoning	X49.99
Robinia viscosa poisoning	X49.99
clammy locust poisoning	X49.99
Anthoxanthum odoratum poisoning	X49.99
sweet vernal grass poisoning	X49.99
Cymopterus watsonii poisoning	X49.99
spring parsley poisoning	X49.99
Pteronia pallens poisoning	X49.99
Scholtz bush poisoning	X49.99
Cynoglossum officinale poisoning	X49.99
hound's tongue poisoning	X49.99
Jacobaea vulgaris poisoning	X49.99
Senecio jacobaea poisoning	X49.99
stinking willie poisoning	X49.99
tansy ragwort poisoning	X49.99
Aesculus species poisoning	X49.99
Buckeye poisoning	X49.99
Trachyandra species poisoning	X49.99
Geigeria species poisoning	X49.99
Penicillium cyclopium toxicosis	X49.99
Adenia species poisoning	X49.99
astragalus species poisoning	X49.99
locoweed astragalus poisoning	X49.99
Panicum effusum poisoning	X49.99
hairy millet poisoning	X49.99
shellfish poisoning caused by Gonyaulax tamarensis	X49.99
shellfish poisoning due to Gonyaulax tamarensis	X49.99
Raphanus raphanistrum poisoning	X49.99
wild radish poisoning	X49.99
acute copper poisoning	X49.99
polychlorinated biphenyl poisoning	X49.99
PCB poisoning	X49.99
Yusko	X49.99
polybrominated biphenyl poisoning	X49.99
Sorghum bicolor poisoning	X49.99
Sudan grass poisoning	X49.99
exposure to mercury	X49.99
amnesic shellfish poisoning	X49.99
shellfish poisoning, amnesic	X49.99
diarrheic shellfish poisoning	X49.99
DSP - Diarrheic shellfish poisoning	X49.99
DSP - Diarrhoeic shellfish poisoning	X49.99
diarrhoeic shellfish poisoning	X49.99
DSP	X49.99
DSP	X49.99
DSP	X49.99
DSP	X49.99
DSP	X49.99
DSP	X49.99
toxic effect of sodium hydroxide	X49.99
sodium hydroxide causing toxic effect	X49.99
intentional triclofos poisoning	X61.99
intentional poisoning caused by valproate	X61.99
intentional triclofos overdose	X61.99
intentional clorazepate poisoning	X61.99
intentional amfetamine and/or amfetamine derivative poisoning	X61.99
intentional amphetamine and/or amphetamine derivative poisoning	X61.99
intentional amfetamine and/or amfetamine derivative overdose	X61.99
intentional amphetamine and/or amphetamine derivative overdose	X61.99
intentional valproate overdose	X61.99
intentional benzodiazepine overdose	X61.99
intentional diazepam overdose	X61.99
intentional chlordiazepoxide overdose	X61.99
intentional temazepam overdose	X61.99
intentional levodopa poisoning	X61.99
intentional amantadine poisoning	X61.99
intentional lysuride poisoning	X61.99
intentional lisuride poisoning	X61.99
intentional bromocriptine poisoning	X61.99
intentional amitriptyline poisoning	X61.99
